genres,id,keywords,original_language,production_countries,spoken_languages,title
"Action, Adventure, Fantasy, Science Fiction",19995,"culture clash, future, space war, space colony, society, space travel, futuristic, romance, space, alien, tribe, alien planet, cgi, marine, soldier, battle, love affair, anti war, power relations, mind and soul, 3d",en,"United States of America, United Kingdom","English, Español",Avatar
"Adventure, Fantasy, Action",285,"ocean, drug abuse, exotic island, east india trading company, love of one's life, traitor, shipwreck, strong woman, ship, alliance, calypso, afterlife, fighter, pirate, swashbuckler, aftercreditsstinger",en,United States of America,English,Pirates of the Caribbean: At World's End
"Action, Adventure, Crime",206647,"spy, based on novel, secret agent, sequel, mi6, british secret service, united kingdom",en,"United Kingdom, United States of America","Français, English, Español, Italiano, Deutsch",Spectre
"Action, Crime, Drama, Thriller",49026,"dc comics, crime fighter, terrorist, secret identity, burglar, hostage drama, time bomb, gotham city, vigilante, cover-up, superhero, villainess, tragic hero, terrorism, destruction, catwoman, cat burglar, imax, flood, criminal underworld, batman",en,United States of America,English,The Dark Knight Rises
"Action, Adventure, Science Fiction",49529,"based on novel, mars, medallion, space travel, princess, alien, steampunk, martian, escape, edgar rice burroughs, alien race, superhuman strength, mars civilization, sword and planet, 19th century, 3d",en,United States of America,English,John Carter
"Fantasy, Action, Adventure",559,"dual identity, amnesia, sandstorm, love of one's life, forgiveness, spider, wretch, death of a friend, egomania, sand, narcism, hostility, marvel comic, sequel, superhero, revenge",en,United States of America,"English, Français",Spider-Man 3
"Animation, Family",38757,"hostage, magic, horse, fairy tale, musical, princess, animation, tower, blonde woman, selfishness, healing power, based on fairy tale, duringcreditsstinger, healing gift, animal sidekick",en,United States of America,English,Tangled
"Action, Adventure, Science Fiction",99861,"marvel comic, sequel, superhero, based on comic book, vision, superhero team, duringcreditsstinger, marvel cinematic universe, 3d",en,United States of America,English,Avengers: Age of Ultron
"Adventure, Fantasy, Family",767,"witch, magic, broom, school of witchcraft, wizardry, apparition, teenage crush, werewolf",en,"United Kingdom, United States of America",English,Harry Potter and the Half-Blood Prince
"Action, Adventure, Fantasy",209112,"dc comics, vigilante, superhero, based on comic book, revenge, super powers, clark kent, bruce wayne, dc extended universe",en,United States of America,English,Batman v Superman: Dawn of Justice
"Adventure, Fantasy, Action, Science Fiction",1452,"saving the world, dc comics, invulnerability, sequel, superhero, based on comic book, kryptonite, super powers, superhuman strength, lex luthor",en,United States of America,"English, Français, Deutsch",Superman Returns
"Adventure, Action, Thriller, Crime",10764,"killing, undercover, secret agent, british secret service",en,"United Kingdom, United States of America","English, Español, Italiano, Français, Deutsch",Quantum of Solace
"Adventure, Fantasy, Action",58,"witch, fortune teller, bondage, exotic island, monster, captain, card game, east india trading company, compass, ship, daughter, pirate, swashbuckler, aftercreditsstinger",en,"Jamaica, United States of America, Bahamas, Dominica","English, Türkçe, ελληνικά, 普通话",Pirates of the Caribbean: Dead Man's Chest
"Action, Adventure, Western",57201,"texas, horse, survivor, texas ranger, partner, outlaw, escape, lawyer, train, lone ranger, comanche, the lone ranger, tonto",en,United States of America,English,The Lone Ranger
"Action, Adventure, Fantasy, Science Fiction",49521,"saving the world, dc comics, superhero, based on comic book, superhuman, alien invasion, reboot, super powers, dc extended universe",en,"United Kingdom, United States of America",English,Man of Steel
"Adventure, Family, Fantasy",2454,"based on novel, fictional place, brother sister relationship, lion, human being, wretch, leap in time, matter of life and death, faith, uncle, narnia, fantasy world",en,"Czech Republic, Poland, Slovenia, United States of America",English,The Chronicles of Narnia: Prince Caspian
"Science Fiction, Action, Adventure",24428,"new york, shield, marvel comic, superhero, based on comic book, alien invasion, superhero team, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe",en,United States of America,English,The Avengers
"Adventure, Action, Fantasy",1865,"sea, captain, mutiny, sword, prime minister, sailing, silver, ship, duke, mermaid, pirate, soldier, battle, swashbuckler, aftercreditsstinger, 3d",en,United States of America,"English, Español",Pirates of the Caribbean: On Stranger Tides
"Action, Comedy, Science Fiction",41154,"time travel, time machine, alien, fictional government agency, seeing the future, changing history",en,United States of America,English,Men in Black 3
"Action, Adventure, Fantasy",122917,"corruption, elves, dwarves, orcs, middle-earth (tolkien), hobbit, dragon, battle, unlikely friendship, epic battle, sword and sorcery",en,"New Zealand, United States of America",English,The Hobbit: The Battle of the Five Armies
"Action, Adventure, Fantasy",1930,"loss of father, vigilante, serum, marvel comic, scientific experiment, spider bite, masked vigilante, reboot, super powers, genetic engineering, social outcast, duringcreditsstinger",en,United States of America,English,The Amazing Spider-Man
"Action, Adventure",20662,"robin hood, archer, knight, sherwood forest, bow and arrow, middle ages, medieval, king of england",en,"United Kingdom, United States of America","English, ภาษาไทย",Robin Hood
"Adventure, Fantasy",57158,"elves, dwarves, orcs, hobbit, dragon, wizard, sword and sorcery",en,"New Zealand, United States of America",English,The Hobbit: The Desolation of Smaug
"Adventure, Fantasy",2268,"england, compass, experiment, lordship, uncle, polar bear, orphan, animal, based on young adult novel",en,"United Kingdom, United States of America","Íslenska, English, Pусский, Français",The Golden Compass
"Adventure, Drama, Action",254,"film business, screenplay, show business, film making, film producer, exotic island, monster, indigenous, ship, dinosaur",en,"New Zealand, United States of America, Germany",English,King Kong
"Drama, Romance, Thriller",597,"shipwreck, iceberg, ship, panic, titanic, ocean liner, epic, rich woman - poor man, love, disaster, tragic love, class differences, imax, star crossed lovers, steerage, salvage, rich snob, 3d, 1910s",en,United States of America,"English, Français, Deutsch, svenska, Italiano, Pусский",Titanic
"Adventure, Action, Science Fiction",271110,"civil war, war, marvel comic, sequel, superhero, based on comic book, imax, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe, 3d",en,United States of America,"Română, English, Deutsch, Pусский",Captain America: Civil War
"Thriller, Action, Adventure, Science Fiction",44833,"fight, u.s. navy, mind reading, hong kong, soccer, scientist, fictional war, naval, armada, battleship, naval combat, jds myoko, lost communication, taser, buoy, communications expert, joint chiefs of staff, crash landing, jet fighter pilot, navy lieutenant, permission to marry, uss john paul jones, based on board game, aftercreditsstinger, mighty mo, uss missouri",en,United States of America,"English, ภาษาไทย",Battleship
"Action, Adventure, Science Fiction, Thriller",135397,"monster, dna, tyrannosaurus rex, velociraptor, island, sequel, suspense, disaster, escape, dinosaur, amusement park, animal attack, theme park, jurassic park, 3d, animal horror",en,United States of America,English,Jurassic World
"Action, Adventure, Thriller",37724,"spy, secret agent, sociopath, killer, art gallery, british secret service, istanbul turkey, imax, uzi, booby trap, impersonating a police officer, macao",en,"United Kingdom, United States of America",English,Skyfall
"Action, Adventure, Fantasy",558,"dual identity, love of one's life, pizza boy, marvel comic, sequel, superhero, doctor, scientist, tentacle, death, super villain",en,United States of America,"English, Pусский, 普通话",Spider-Man 2
"Action, Adventure, Science Fiction",68721,"terrorist, war on terror, tennessee, malibu, marvel comic, superhero, based on comic book, tony stark, iron man, aftercreditsstinger, marvel cinematic universe, mandarin, 3d, war machine, iron patriot, extremis",en,"China, United States of America",English,Iron Man 3
"Family, Fantasy, Adventure",12155,"based on novel, fictional place, queen, fantasy, alice in wonderland, fantasy world, 3d",en,United States of America,English,Alice in Wonderland
"Adventure, Action, Science Fiction, Thriller",36668,"mutant, marvel comic, based on comic book, superhuman, beast, cyclops, aftercreditsstinger",en,"Canada, United Kingdom, United States of America",English,X-Men: The Last Stand
"Animation, Family",62211,"monster, dormitory, games, animation, best friend, university, scary, aftercreditsstinger",en,United States of America,English,Monsters University
"Science Fiction, Action, Adventure",8373,"egypt, sun, chaos, symbol, artifact, transformers, tank, robot, imax, duringcreditsstinger",en,United States of America,"English, Español",Transformers: Revenge of the Fallen
"Science Fiction, Action, Adventure",91314,"sequel, alien, transformers, giant robot, robot, imax, transforming robot",en,United States of America,English,Transformers: Age of Extinction
"Fantasy, Adventure, Family",68728,"circus, witch, magic, hope, illusion, lost, magic trick, wizard, 3d",en,United States of America,English,Oz: The Great and Powerful
"Action, Adventure, Fantasy",102382,"obsession, marvel comic, sequel, based on comic book, electrocution, medical experiment, electricity, super powers",en,United States of America,English,The Amazing Spider-Man 2
"Adventure, Action, Science Fiction",20526,"artificial intelligence, secret identity, computer program, dystopia, computer, deception, duel, motorcycle, neon light, autocracy",en,United States of America,English,TRON: Legacy
"Animation, Family, Adventure, Comedy",49013,"car race, sequel, comedy, anthropomorphism, best friend, duringcreditsstinger",en,United States of America,"English, 日本語, Italiano, Français",Cars 2
"Adventure, Action, Thriller, Science Fiction",44912,"dc comics, transformation, superhero, alien, alien infection, magical object, protector, super powers, origin, 3d",en,United States of America,English,Green Lantern
"Animation, Family, Comedy",10193,"hostage, college, toy, barbie, animation, escape, day care, teddy bear, duringcreditsstinger, toy comes to life, personification, inanimate objects coming to life, toy story",en,United States of America,"English, Español",Toy Story 3
"Action, Science Fiction, Thriller",534,"saving the world, artificial intelligence, prophecy, san francisco, cyborg, killer robot, gas station, post-apocalyptic, dystopia, army, firearm, wartime, los angeles",en,"Germany, Italy, United Kingdom, United States of America","English, Italiano",Terminator Salvation
Action,168259,"car race, speed, revenge, suspense, car, race, muscle car",en,"Japan, United States of America",English,Furious 7
"Action, Drama, Horror, Science Fiction, Thriller",72190,"dystopia, apocalypse, zombie, nuclear weapons, multiple perspectives, zombie apocalypse",en,"United States of America, Malta",English,World War Z
"Action, Adventure, Fantasy, Science Fiction",127585,"1970s, mutant, time travel, marvel comic, based on comic book, superhuman, storm, beast, aftercreditsstinger, changing the past or future",en,"United Kingdom, United States of America",English,X-Men: Days of Future Past
"Action, Adventure, Science Fiction",54138,"spacecraft, friendship, sequel, futuristic, space, alien, imax, space opera, terrorist bombing, 3d",en,United States of America,English,Star Trek Into Darkness
"Action, Family, Fantasy",81005,"based on fairy tale, giant",en,United States of America,English,Jack the Giant Slayer
"Drama, Romance",64682,"based on novel, infidelity, obsession, hope, 3d",en,"United States of America, Australia",English,The Great Gatsby
"Adventure, Fantasy, Action, Romance",9543,"persia, sandstorm, brother against brother, armageddon, regent, based on video game",en,United States of America,English,Prince of Persia: The Sands of Time
"Action, Science Fiction, Adventure",68726,"dystopia, giant robot, giant monster, apocalypse, imax, duringcreditsstinger, 3d",en,"United States of America, Canada",English,Pacific Rim
"Action, Science Fiction, Adventure",38356,"moon, spacecraft, traitor, bodyguard, alien planet, based on cartoon, transformers, giant robot, sabotage, word domination, commando, duringcreditsstinger",en,United States of America,English,Transformers: Dark of the Moon
"Adventure, Action",217,"saving the world, riddle, whip, treasure, mexico city, leather jacket, machinegun, alien phenomenons, maya civilization, peru, treasure hunt, nuclear explosion, refrigerator, archaeologist, indiana jones, archeology ",en,United States of America,"English, Deutsch, Pусский",Indiana Jones and the Kingdom of the Crystal Skull
"Adventure, Animation, Family",105864,"tyrannosaurus rex, friends, alternate history, dinosaur, fear, storm, nature, human, journey",en,United States of America,English,The Good Dinosaur
"Animation, Adventure, Comedy, Family, Action, Fantasy",62177,"scotland, rebel, bravery, kingdom, archer, wish, bear, scot, rebellious daughter, turns into animal, archery, ruins, aftercreditsstinger, peace offering, woman director, courage, 3d",en,United States of America,English,Brave
"Action, Adventure, Science Fiction",188927,"sequel, stranded, hatred, space opera",en,United States of America,English,Star Trek Beyond
"Animation, Family",10681,romantic comedy,en,United States of America,English,WALL·E
"Action, Comedy, Crime, Thriller",5174,ambassador,en,United States of America,"Latin, English, Français, 日本語, 普通话",Rush Hour 3
"Action, Adventure, Science Fiction",14161,"civilization, natural disaster, end of the world, disaster, apocalypse, destruction, volcanic eruption, mayan, ark, solar, destruction  of mankind",en,"Canada, United States of America","English, Français, हिन्दी, Italiano, Latin, 普通话, Português, Pусский, ",2012
"Animation, Drama",17979,"holiday, based on novel, victorian england, money, christmas eve, scrooge, christmas carol, ghost, lesson, charles dickens, christmas",en,United States of America,English,A Christmas Carol
"Science Fiction, Fantasy, Action, Adventure",76757,"jupiter, space, woman director, 3d, interspecies romance",en,United States of America,English,Jupiter Ascending
"Action, Adventure",258489,"africa, feral child, tarzan, jungle, animal attack",en,"Canada, United Kingdom, United States of America",English,The Legend of Tarzan
"Adventure, Family, Fantasy",411,"saving the world, witch, based on novel, brother sister relationship, self sacrifice, winter, cupboard, beaver, lion, fairy-tale figure, battle, narnia, fantasy world, duringcreditsstinger",en,"United Kingdom, United States of America","English, Deutsch","The Chronicles of Narnia: The Lion, the Witch and the Wardrobe"
Science Fiction,246655,"mutant, supernatural powers, marvel comic, superhero, based on comic book, superhuman, apocalypse, superhero team, world domination, aftercreditsstinger, 1980s",en,United States of America,English,X-Men: Apocalypse
"Drama, Action, Crime, Thriller",155,"dc comics, crime fighter, secret identity, scarecrow, sadism, chaos, gotham city, vigilante, joker, superhero, based on comic book, tragic hero, organized crime, criminal mastermind, district attorney, imax, super villain, super powers, batman",en,"United Kingdom, United States of America","English, 普通话",The Dark Knight
"Animation, Comedy, Family, Adventure",14160,"age difference, central and south america, balloon, animation, floating in the air, duringcreditsstinger, exploring",en,United States of America,English,Up
"Animation, Family, Adventure, Science Fiction",15512,"alien, giant robot, duringcreditsstinger",en,United States of America,English,Monsters vs Aliens
"Action, Science Fiction, Adventure",1726,"middle east, arms dealer, malibu, marvel comic, superhero, based on comic book, tony stark, iron man, aftercreditsstinger, marvel cinematic universe, counter terrorism, agent coulson",en,United States of America,"English, فارسی, اردو, العربية",Iron Man
"Adventure, Drama, Family",44826,"library, clock, film director, key, toy, boy, love, orphan, robot, automaton, hiding, filmmaking, leg brace, doberman, 3d",en,"France, United States of America, United Kingdom",English,Hugo
"Action, Adventure, Comedy, Science Fiction, Western",8487,"steampunk, based on tv series, steam locomotive, drag",en,United States of America,English,Wild Wild West
"Adventure, Action, Fantasy",1735,,en,"Germany, United States of America","English, 普通话, ",The Mummy: Tomb of the Dragon Emperor
"Action, Adventure, Crime, Fantasy, Science Fiction",297761,"dc comics, shared universe, anti hero, secret mission, villain, superhero, supervillain, dc extended universe",en,United States of America,English,Suicide Squad
"Fantasy, Comedy, Family",2698,"father son relationship, daily life, married couple, support, father, marriage, faith, baustelle, rescue, animal, nature, duringcreditsstinger, noah's ark",en,United States of America,English,Evan Almighty
"Action, Science Fiction",137113,"deja vu, time warp, restart, dystopia, war, alien, military officer, soldier, alien invasion, exoskeleton",en,"Australia, United States of America",English,Edge of Tomorrow
"Adventure, Action",9804,"ocean, tattoo, mutant, water, dystopia, doomsday",en,United States of America,"English, Deutsch, Español",Waterworld
"Adventure, Action, Thriller, Science Fiction",14869,"terrorist, secret, hostage, technology, warhead, government, president, revenge, murder, attack, explosion, scientist, lasers, evil, cobra",en,"Czech Republic, United States of America","English, Français, ",G.I. Joe: The Rise of Cobra
"Drama, Comedy, Animation, Family",150540,"dream, cartoon, imaginary friend, animation, family, moving, kids, unicorn, duringcreditsstinger, 3d, emotions",en,United States of America,English,Inside Out
"Family, Adventure, Drama, Fantasy",278927,"based on novel, snake, wolf, elephant, tiger, feral child, panther, remake, bear, jungle, talking animal, orphan, animal, talking to animals",en,"United Kingdom, United States of America",English,The Jungle Book
"Adventure, Action, Science Fiction",10138,"malibu, marvel comic, superhero, based on comic book, revenge, aftercreditsstinger, marvel cinematic universe",en,United States of America,"English, Pусский, Français",Iron Man 2
"Adventure, Fantasy, Drama",58595,"queen, magic, fairy tale, immortality, forest, deception, woman, eternal youth, snow white, evil queen, evil stepmother, imprisoned, sorceress",en,United States of America,English,Snow White and the Huntsman
"Fantasy, Adventure, Action, Family, Romance",102651,"fairy tale, villain, sleeping beauty, dark fantasy, based on fairy tale, adaptation, retelling, literary adaptation, 3d",en,United States of America,English,Maleficent
"Science Fiction, Action, Drama, Thriller",119450,"leader, colony, post-apocalyptic, dystopia, forest, sequel, woods, ape, scientist, monkey, medical research, animal attack, plague, 3d",en,United States of America,English,Dawn of the Planet of the Apes
"Action, Adventure, Science Fiction, Romance",79698,,en,"Australia, Belgium, India",English,The Lovers
"Drama, Action, Adventure, Fantasy",64686,"japan, suicide, samurai, based on true story, samurai sword, ronin, shogun, half breed, 3d",en,United States of America,"English, 日本語",47 Ronin
"Action, Adventure, Science Fiction",100402,"washington d.c., future, shield, marvel comic, superhero, based on comic book, captain america, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe, 3d, political thriller",en,United States of America,English,Captain America: The Winter Soldier
"Comedy, Adventure, Fantasy, Animation, Family",10192,"ogre, 3d",en,United States of America,English,Shrek Forever After
"Adventure, Family, Mystery, Science Fiction",158852,"inventor, apocalypse, destiny, imax, dreamer, futuristic car, futuristic city",en,United States of America,English,Tomorrowland
"Adventure, Family, Animation, Action, Comedy",177572,"brother brother relationship, hero, talent, revenge, best friend, another dimension, robot, boy genius, hate, aftercreditsstinger, moral dilemma, 3d, teen superheroes, dead brother",en,United States of America,English,Big Hero 6
"Family, Animation, Comedy, Adventure",82690,"support group, product placement, bullying, racing, arcade, medal, self esteem, curiosity, precocious child, aftercreditsstinger, duringcreditsstinger, first person shooter, glitch, carefree, video gamer, q*bert, interrupted wedding, social reject",en,United States of America,English,Wreck-It Ralph
"Adventure, Animation, Family, Fantasy",5255,"santa claus, nerd, faith, gift, bell, beard, north pole, chute, trestle, ticket, christmas",en,United States of America,English,The Polar Express
"Action, Adventure, Science Fiction",47933,"alternate history, alien invasion",en,United States of America,English,Independence Day: Resurgence
"Fantasy, Adventure, Animation, Family",10191,"flying, blacksmith, arena, island, night, ship, training, village, forest, viking, friendship, ignorance, flight, nest, dragon, battle, combat, well, warrior",en,United States of America,English,How to Train Your Dragon
"Action, Thriller, Science Fiction",296,"saving the world, artificial intelligence, man vs machine, cyborg, killer robot, sun glasses, leather jacket, nanotechnology, rocket launcher, firemen, veterinarian, fire engine, dystopia, psychiatrist",en,"Germany, United Kingdom, United States of America",English,Terminator 3: Rise of the Machines
"Action, Science Fiction, Adventure",118340,"marvel comic, spaceship, space, outer space, orphan, adventurer, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe",en,"United Kingdom, United States of America",English,Guardians of the Galaxy
"Adventure, Drama, Science Fiction",157336,"saving the world, artificial intelligence, father son relationship, single parent, nasa, expedition, wormhole, space travel, famine, black hole, dystopia, race against time, quantum mechanics, spaceship, space, rescue, family relationships, farmhouse, robot, astronaut, scientist, father daughter relationship, single father, farmer, space station, imax, astrophysics, zero gravity, courage, time paradox, relativity",en,"Canada, United States of America, United Kingdom",English,Interstellar
"Action, Thriller, Science Fiction, Mystery, Adventure",27205,"loss of lover, dream, kidnapping, sleep, subconsciousness, heist, redemption, female hero",en,"United Kingdom, United States of America","English, 日本語, Français",Inception
"Action, Adventure, Drama, Horror, Science Fiction",315011,"monster, godzilla, giant monster, destruction, kaiju, toyko",ja,Japan,"Italiano, Deutsch, English, 日本語",Shin Godzilla
"Adventure, Fantasy, Action",49051,"riddle, elves, dwarves, orcs, middle-earth (tolkien), hobbit, mountains, wizard, journey, ring, goblin, courage, giant, tunnel, underground lake, buried treasure, climbing a tree, invisibility, ancient, gnomes",en,"New Zealand, United States of America",English,The Hobbit: An Unexpected Journey
"Action, Crime, Thriller",9799,"street gang, car race, undercover, auto-tuning, los angeles, car, automobile racing, aftercreditsstinger, duringcreditsstinger",en,"Germany, United States of America",English,The Fast and the Furious
"Fantasy, Drama, Thriller, Mystery, Romance",4922,"diary, navy, funeral, tea, travel, hospital",en,United States of America,English,The Curious Case of Benjamin Button
"Action, Science Fiction, Adventure",49538,"cia, mutant, mine, marvel comic, superhero, based on comic book, superhuman, historical fiction, nuclear war, cuban missile crisis, world war iii, 1960s",en,United States of America,"Deutsch, English, Español, Français, Pусский",X-Men: First Class
"Action, Adventure, Science Fiction",131634,"revolution, strong woman, dystopia, game of death, 3d, based on young adult novel",en,"Germany, United States of America",English,The Hunger Games: Mockingjay - Part 2
"Fantasy, Adventure, Action, Comedy, Drama",27022,"witch, fire, wolf, fountain, magic, book, castle, water, apprentice, training, merlin, love, mission, sorcerer, dragon, aftercreditsstinger, apprendista, morgana",en,United States of America,English,The Sorcerer's Apprentice
"Adventure, Action, Drama, Thriller",503,"new year's eve, fire, drowning, cataclysm, loss of father, atlantic ocean, ball, self-abandonment, shipwreck, giant wave, blackout, ship, daughter, single, escape, capsized ship",en,United States of America,"English, Español",Poseidon
Fantasy,241259,"based on novel, clock, queen, sequel, alice in wonderland, dark fantasy, mad hatter, 3d",en,"United Kingdom, United States of America",English,Alice Through the Looking Glass
"Fantasy, Adventure, Animation, Comedy, Family",810,"ambush, sadness, stage, liberation of prisoners, island, traitor, shipwreck, prince, ship, donkey, kingdom, theatre play, transformation, conciliation, tricks, heir to the throne, assault, boarding school, coup d'etat, teacher, best friend, dragon, cowardliness, pregnancy, capture, duringcreditsstinger",en,United States of America,Français,Shrek the Third
"Action, Adventure, Fantasy",68735,"video game, elves, orcs, magic, chase, based on comic book, sorcerer, fictional war, based on video game, wizard, fictional language, muscles, orc, sword and sorcery",en,"Canada, China, Japan, United States of America",English,Warcraft
"Science Fiction, Action, Thriller, Adventure",87101,"saving the world, artificial intelligence, cyborg, killer robot, future, time travel, dystopia, sequel, fiction, duringcreditsstinger, 3d",en,United States of America,English,Terminator Genisys
"Adventure, Family, Fantasy",10140,"based on novel, magic, good vs evil, king, narnia, fantasy world, knife held to throat, snowing, quest",en,United States of America,English,The Chronicles of Narnia: The Voyage of the Dawn Treader
"History, Romance, War",676,"nurse, patriotism, hawaii, world war ii, pilot, pearl harbor, u.s. air force, airplane, war, army, love, pin-up",en,United States of America,"Français, English, 日本語",Pearl Harbor
"Adventure, Science Fiction, Action",1858,"destroy, transformation, alien, based on toy, transformers, robot, duringcreditsstinger, teenage hero",en,United States of America,"Español, English",Transformers
"War, History, Action, Adventure, Drama, Romance",1966,"aristotle, egypt, greece, persia, elephant, campaign, alexander the great, homosexuality, gay relationship, ancient world",en,"France, Germany, Italy, Netherlands, United Kingdom, United States of America",English,Alexander
"Adventure, Fantasy, Family, Mystery",675,"prophecy, witch, loss of lover, magic, cutting the cord, child hero, dying and death, broom, sorcerer's apprentice, school of witchcraft, black magic, death of a friend, sorcery, occultism",en,"United Kingdom, United States of America",English,Harry Potter and the Order of the Phoenix
"Adventure, Fantasy, Family",674,"magic, dying and death, broom, sorcerer's apprentice, school of witchcraft, chosen one, black magic, boarding school, vision, tournament, teenager, wizard, teenage hero, based on young adult novel",en,"United Kingdom, United States of America","English, Français",Harry Potter and the Goblet of Fire
"Fantasy, Action",8960,"flying, alcohol, love of one's life, forbidden love, lovers, affection, advertising expert, alcoholism, invulnerability, superhero, pokies, duringcreditsstinger",en,United States of America,"English, 日本語",Hancock
"Drama, Horror, Action, Thriller, Science Fiction",6479,"saving the world, lost civilisation, post-apocalyptic, dystopia, matter of life and death, alone, helplessness, virus, pandemic",en,United States of America,English,I Am Legend
"Adventure, Comedy, Family, Fantasy",118,"london england, father son relationship, chocolate, factory worker, based on novel, parents kids relationship, candy, overweight child, grandfather grandson relationship, teacher",en,"Australia, United Kingdom, United States of America",English,Charlie and the Chocolate Factory
"Animation, Comedy, Family, Fantasy",2062,"paris, brother brother relationship, expensive restaurant, river, cook, mouse, confidence, roof, window, leaving one's family, work, restaurant critic, kitchen, spice, court, cookbook, family, chef, rat",en,United States of America,English,Ratatouille
"Action, Crime, Drama",272,"himalaya, martial arts, dc comics, crime fighter, secret identity, undercover, hero, loss of father, society, gotham city, vigilante, superhero, based on comic book, rivalry, tragic hero, ninja, good vs evil, crime, super powers, haunted by the past, evil doctor, escapade, master villain, fighting crime, unfulfillment, love and romance, unfulfilled love",en,"United Kingdom, United States of America","English, اردو, 普通话",Batman Begins
"Family, Animation",10527,"africa, jealousy, dance, hunger, lion, zoo, hippopotamus, chimp, penguin, volcano, madagascar, airplane, zebra, sequel, shark, imax, duringcreditsstinger",en,United States of America,"English, Italiano, ภาษาไทย",Madagascar: Escape 2 Africa
"Adventure, Fantasy, Action, Comedy, Family",18360,"museum, theodore roosevelt, duringcreditsstinger, amelia earhart, smithsonian",en,"United States of America, Canada",English,Night at the Museum: Battle of the Smithsonian
"Adventure, Action, Thriller, Science Fiction",2080,"corruption, mutant, boxer, army, marvel comic, superhero, aftercreditsstinger, duringcreditsstinger",en,United States of America,English,X-Men Origins: Wolverine
"Adventure, Action, Thriller, Science Fiction",605,"saving the world, artificial intelligence, man vs machine, flying, philosophy, fortune teller, kung fu, underground world, killer robot, temple, subway, dream, sun, hero, fight, sunlight, computer virus, key, future, precognition, super computer, machine town, ying yang, dying and death, virtual reality, dystopia, computer, faith, world religion, truth, rescue, mission, cyberpunk, woman director, yin yang, gnosticism",en,"United States of America, Australia","English, Français",The Matrix Revolutions
"Animation, Adventure, Family",109445,"queen, musical, princess, betrayal, snowman, animation, reindeer, curse, snow, troll, mountain climber, aftercreditsstinger, woman director, 3d",en,United States of America,English,Frozen
