movie_id,title,tags
19995,Avatar,{Sam Worthington. Zoe Saldana. Sigourney Weaver. Stephen Lang. Michelle Rodriguez. Giovanni Ribisi. James Cameron. Action. Adventure. Fantasy. Science Fiction. culture clash. future. space war. space colony. society. space travel. futuristic. romance. space. alien. tribe. alien planet. cgi. marine. soldier. battle. love affair. anti war. power relations. mind and soul. 3d}
285,Pirates of the Caribbean: At Worlds End,{Johnny Depp. Orlando Bloom. Keira Knightley. Stellan Skarsgård. Chow Yun-fat. Bill Nighy. Gore Verbinski. Adventure. Fantasy. Action. ocean. drug abuse. exotic island. east india trading company. love of ones life. traitor. shipwreck. strong woman. ship. alliance. calypso. afterlife. fighter. pirate. swashbuckler. aftercreditsstinger}
206647,Spectre,{Daniel Craig. Christoph Waltz. Léa Seydoux. Ralph Fiennes. Monica Bellucci. Ben Whishaw. Sam Mendes. Action. Adventure. Crime. spy. based on novel. secret agent. sequel. mi6. british secret service. united kingdom}
49026,The Dark Knight Rises,{Christian Bale. Michael Caine. Gary Oldman. Anne Hathaway. Tom Hardy. Marion Cotillard. Christopher Nolan. Action. Crime. Drama. Thriller. dc comics. crime fighter. terrorist. secret identity. burglar. hostage drama. time bomb. gotham city. vigilante. cover-up. superhero. villainess. tragic hero. terrorism. destruction. catwoman. cat burglar. imax. flood. criminal underworld. batman}
49529,John Carter,{Taylor Kitsch. Lynn Collins. Samantha Morton. Willem Dafoe. Thomas Haden Church. Mark Strong. Andrew Stanton. Action. Adventure. Science Fiction. based on novel. mars. medallion. space travel. princess. alien. steampunk. martian. escape. edgar rice burroughs. alien race. superhuman strength. mars civilization. sword and planet. 19th century. 3d}
559,Spider-Man 3,{Tobey Maguire. Kirsten Dunst. James Franco. Thomas Haden Church. Topher Grace. Bryce Dallas Howard. Sam Raimi. Fantasy. Action. Adventure. dual identity. amnesia. sandstorm. love of ones life. forgiveness. spider. wretch. death of a friend. egomania. sand. narcism. hostility. marvel comic. sequel. superhero. revenge}
38757,Tangled,{Zachary Levi. Mandy Moore. Donna Murphy. Ron Perlman. M.C. Gainey. Jeffrey Tambor. Byron Howard. Nathan Greno. Animation. Family. hostage. magic. horse. fairy tale. musical. princess. animation. tower. blonde woman. selfishness. healing power. based on fairy tale. duringcreditsstinger. healing gift. animal sidekick}
99861,Avengers: Age of Ultron,{Robert Downey Jr.. Chris Hemsworth. Mark Ruffalo. Chris Evans. Scarlett Johansson. Jeremy Renner. Joss Whedon. Action. Adventure. Science Fiction. marvel comic. sequel. superhero. based on comic book. vision. superhero team. duringcreditsstinger. marvel cinematic universe. 3d}
767,Harry Potter and the Half-Blood Prince,{Daniel Radcliffe. Rupert Grint. Emma Watson. Tom Felton. Michael Gambon. Jim Broadbent. David Yates. Adventure. Fantasy. Family. witch. magic. broom. school of witchcraft. wizardry. apparition. teenage crush. werewolf}
209112,Batman v Superman: Dawn of Justice,{Ben Affleck. Henry Cavill. Gal Gadot. Amy Adams. Jesse Eisenberg. Diane Lane. Zack Snyder. Action. Adventure. Fantasy. dc comics. vigilante. superhero. based on comic book. revenge. super powers. clark kent. bruce wayne. dc extended universe}
1452,Superman Returns,{Brandon Routh. Kevin Spacey. Kate Bosworth. James Marsden. Parker Posey. Frank Langella. Bryan Singer. Adventure. Fantasy. Action. Science Fiction. saving the world. dc comics. invulnerability. sequel. superhero. based on comic book. kryptonite. super powers. superhuman strength. lex luthor}
10764,Quantum of Solace,{Daniel Craig. Olga Kurylenko. Mathieu Amalric. Judi Dench. Giancarlo Giannini. Gemma Arterton. Marc Forster. Adventure. Action. Thriller. Crime. killing. undercover. secret agent. british secret service}
58,Pirates of the Caribbean: Dead Mans Chest,{Johnny Depp. Orlando Bloom. Keira Knightley. Stellan Skarsgård. Bill Nighy. Jack Davenport. Gore Verbinski. Adventure. Fantasy. Action. witch. fortune teller. bondage. exotic island. monster. captain. card game. east india trading company. compass. ship. daughter. pirate. swashbuckler. aftercreditsstinger}
57201,The Lone Ranger,{Johnny Depp. Armie Hammer. William Fichtner. Helena Bonham Carter. James Badge Dale. Tom Wilkinson. Gore Verbinski. Action. Adventure. Western. texas. horse. survivor. texas ranger. partner. outlaw. escape. lawyer. train. lone ranger. comanche. the lone ranger. tonto}
49521,Man of Steel,{Henry Cavill. Amy Adams. Michael Shannon. Kevin Costner. Diane Lane. Russell Crowe. Zack Snyder. Action. Adventure. Fantasy. Science Fiction. saving the world. dc comics. superhero. based on comic book. superhuman. alien invasion. reboot. super powers. dc extended universe}
2454,The Chronicles of Narnia: Prince Caspian,{Ben Barnes. William Moseley. Anna Popplewell. Skandar Keynes. Georgie Henley. Sergio Castellitto. Andrew Adamson. Adventure. Family. Fantasy. based on novel. fictional place. brother sister relationship. lion. human being. wretch. leap in time. matter of life and death. faith. uncle. narnia. fantasy world}
24428,The Avengers,{Robert Downey Jr.. Chris Evans. Mark Ruffalo. Chris Hemsworth. Scarlett Johansson. Jeremy Renner. Joss Whedon. Science Fiction. Action. Adventure. new york. shield. marvel comic. superhero. based on comic book. alien invasion. superhero team. aftercreditsstinger. duringcreditsstinger. marvel cinematic universe}
1865,Pirates of the Caribbean: On Stranger Tides,{Johnny Depp. Penélope Cruz. Ian McShane. Kevin McNally. Geoffrey Rush. Sam Claflin. Rob Marshall. Adventure. Action. Fantasy. sea. captain. mutiny. sword. prime minister. sailing. silver. ship. duke. mermaid. pirate. soldier. battle. swashbuckler. aftercreditsstinger. 3d}
41154,Men in Black 3,{Will Smith. Tommy Lee Jones. Josh Brolin. Michael Stuhlbarg. Emma Thompson. Jemaine Clement. Barry Sonnenfeld. Action. Comedy. Science Fiction. time travel. time machine. alien. fictional government agency. seeing the future. changing history}
